,precision,recall,f1-score,support
corn_blight,0.8584905660377359,0.91,0.883495145631068,100.0
corn_common_rust,0.9603960396039604,0.97,0.9651741293532339,100.0
corn_gray_spot,0.9545454545454546,0.84,0.8936170212765957,100.0
corn_healthy,0.9803921568627451,1.0,0.9900990099009901,100.0
millet_blast,1.0,1.0,1.0,100.0
millet_healthy,1.0,1.0,1.0,100.0
millet_rust,1.0,1.0,1.0,100.0
rice_bacterialblight,0.9801980198019802,0.99,0.9850746268656716,100.0
rice_brownspot,0.9615384615384616,1.0,0.9803921568627451,100.0
rice_leafsmut,0.99,0.99,0.99,100.0
sugarcane_healthy,0.9431818181818182,0.83,0.8829787234042553,100.0
sugarcane_mosaic,0.8214285714285714,0.92,0.8679245283018868,100.0
sugarcane_redrot,0.9292929292929293,0.92,0.9246231155778895,100.0
sugarcane_rust,0.8725490196078431,0.89,0.8811881188118812,100.0
sugarcane_yellow,0.9134615384615384,0.95,0.9313725490196079,100.0
wheat_aphid,0.8586956521739131,0.79,0.8229166666666666,100.0
wheat_black_rust,0.45,0.18,0.2571428571428571,100.0
wheat_blast,0.8034188034188035,0.94,0.8663594470046083,100.0
wheat_brown_rust,0.2773109243697479,0.33,0.3013698630136986,100.0
wheat_common_root_rot,0.7444444444444445,0.67,0.7052631578947368,100.0
wheat_fusarium_head_blight,0.9339622641509434,0.99,0.9611650485436893,100.0
wheat_healthy,0.9108910891089109,0.92,0.9154228855721394,100.0
wheat_leaf_blight,0.5565217391304348,0.64,0.5953488372093023,100.0
wheat_mildew,0.8865979381443299,0.86,0.8730964467005076,100.0
wheat_mite,0.7244897959183674,0.71,0.7171717171717171,100.0
wheat_septoria,0.9295774647887324,0.66,0.7719298245614035,100.0
wheat_smut,0.9146341463414634,0.75,0.8241758241758241,100.0
wheat_stem_fly,0.9894736842105263,0.94,0.9641025641025641,100.0
wheat_tan_spot,0.3591549295774648,0.51,0.4214876033057851,100.0
wheat_yellow_rust,0.765625,0.98,0.8596491228070176,100.0
accuracy,0.836,0.836,0.836,0.836
macro avg,0.8423424150380373,0.8360000000000002,0.8344180330292781,3000.0
weighted avg,0.8423424150380373,0.836,0.8344180330292781,3000.0
